import time: self [us] | cumulative | imported package
import time:        98 |         98 | winreg
import time:       334 |        334 |   _io
import time:        61 |         61 |   marshal
import time:       261 |        261 |   nt
import time:       908 |       1562 | _frozen_importlib_external
import time:       700 |        700 |   time
import time:       362 |       1062 | zipimport
import time:        66 |         66 |     _codecs
import time:       623 |        688 |   codecs
import time:      1000 |       1000 |   encodings.aliases
import time:       720 |        720 |   encodings._win_cp_codecs
import time:      1685 |       4092 | encodings
import time:       560 |        560 | encodings.utf_8
import time:        52 |         52 |   _codecs_cn
import time:        55 |         55 |   _multibytecodec
import time:       575 |        682 | encodings.gbk
import time:        47 |         47 | _signal
import time:        42 |         42 |       _abc
import time:       175 |        216 |     abc
import time:        66 |         66 |       _stat
import time:       183 |        249 |     stat
import time:       873 |        873 |     _collections_abc
import time:       105 |        105 |       genericpath
import time:        94 |         94 |       _winapi
import time:       253 |        451 |     ntpath
import time:      1083 |       2871 |   os
import time:       115 |        115 |   _sitebuiltins
import time:        60 |         60 |   errno
import time:       712 |        712 |   encodings.utf_8_sig
import time:       407 |        407 |     pywin32_system32
import time:      1335 |       1741 |   pywin32_bootstrap
import time:       204 |        204 |   sitecustomize
import time:      1680 |       7381 | site
import time:       811 |        811 | __future__
import time:       246 |        246 |   io
import time:       106 |        106 |     _operator
import time:       780 |        885 |   operator
import time:       254 |        254 |     posix
import time:       194 |        194 |     posix
import time:       166 |        613 |   posixpath
import time:       241 |        241 |         itertools
import time:       928 |        928 |         keyword
import time:       820 |        820 |         reprlib
import time:       392 |        392 |         _collections
import time:      1787 |       4166 |       collections
import time:        66 |         66 |           _types
import time:       736 |        801 |         types
import time:        62 |         62 |         _functools
import time:      1206 |       2068 |       functools
import time:      1367 |       7600 |     contextlib
import time:      1750 |       1750 |       enum
import time:        96 |         96 |         _sre
import time:       965 |        965 |           re._constants
import time:       897 |       1862 |         re._parser
import time:       603 |        603 |         re._casefix
import time:       895 |       3454 |       re._compiler
import time:       667 |        667 |       copyreg
import time:      1018 |       6887 |     re
import time:       716 |        716 |     fnmatch
import time:      1166 |      16367 |   glob
import time:       262 |        262 |   pwd
import time:       193 |        193 |   grp
import time:       230 |        230 |     fcntl
import time:       175 |        175 |     posix
import time:       853 |       1257 |   pathlib._os
import time:      1225 |      21046 | pathlib
import time:       723 |        723 |   pi_sonar_agent
import time:       850 |        850 |     gettext
import time:      1592 |       2442 |   argparse
import time:       274 |        274 |     pi_sonar_agent.core
import time:        64 |         64 |         _typing
import time:      2880 |       2943 |       typing
import time:       625 |        625 |             linecache
import time:      1430 |       1430 |             textwrap
import time:        79 |         79 |                 _contextvars
import time:      1035 |       1114 |               _py_warnings
import time:       574 |       1687 |             warnings
import time:       767 |        767 |             codeop
import time:       657 |        657 |               token
import time:        55 |         55 |               _tokenize
import time:      1520 |       2231 |             tokenize
import time:       776 |        776 |                     _weakrefset
import time:      1054 |       1830 |                   weakref
import time:       768 |       2597 |                 copy
import time:      1296 |       1296 |                       _ast
import time:      1080 |       2375 |                     ast
import time:      1121 |       3496 |                   annotationlib
import time:        64 |         64 |                       _opcode
import time:       772 |        772 |                       _opcode_metadata
import time:       820 |       1654 |                     opcode
import time:      1802 |       3456 |                   dis
import time:       800 |        800 |                     importlib
import time:       118 |        918 |                   importlib.machinery
import time:      2594 |      10463 |                 inspect
import time:      1691 |      14750 |               dataclasses
import time:      6435 |      21185 |             _colorize
import time:      1342 |      29263 |           traceback
import time:        66 |         66 |             _string
import time:       944 |       1009 |           string
import time:      1458 |       1458 |           threading
import time:        78 |         78 |           atexit
import time:      2704 |      34510 |         logging
import time:       116 |        116 |             zlib
import time:       570 |        570 |                 compression
import time:       657 |       1227 |               compression._common
import time:       953 |        953 |               compression._common._streams
import time:      1943 |       1943 |               _bz2
import time:       835 |       4956 |             bz2
import time:       754 |        754 |               _lzma
import time:      1238 |       1991 |             lzma
import time:       926 |        926 |               _zstd
import time:       978 |        978 |               compression.zstd._zstdfile
import time:      1590 |       3493 |             compression.zstd
import time:      1355 |      11909 |           shutil
import time:       112 |        112 |             math
import time:        61 |         61 |               _bisect
import time:       800 |        861 |             bisect
import time:        42 |         42 |             _random
import time:      1062 |       2076 |           random
import time:      1152 |      15137 |         tempfile
import time:      2738 |       2738 |         dotenv.parser
import time:      1088 |       1088 |         dotenv.variables
import time:      1064 |      54535 |       dotenv.main
import time:       680 |      58158 |     dotenv
import time:       893 |      59323 |   pi_sonar_agent.core.model_env
import time:       155 |        155 |         _locale
import time:      1772 |       1926 |       locale
import time:       993 |        993 |       signal
import time:       266 |        266 |       fcntl
import time:        64 |         64 |       msvcrt
import time:      1467 |       4715 |     subprocess
import time:       944 |       5659 |   pi_sonar_agent.core.run_logging
import time:      2905 |       2905 |   pi_sonar_agent.core.workspace
import time:      4011 |      75062 | pi_sonar_agent.main
import time:       117 |        117 |       _json
import time:      1061 |       1178 |     json.scanner
import time:      1358 |       2535 |   json.decoder
import time:      1467 |       1467 |   json.encoder
import time:      1179 |       5180 | json
import time:       101 |        101 |           _heapq
import time:      1020 |       1121 |         heapq
import time:      1813 |       2933 |       difflib
import time:      1178 |       1178 |           anyio._core
import time:      1479 |       2657 |         anyio._core._contextmanagers
import time:      1360 |       1360 |           contextvars
import time:      1467 |       1467 |           anyio._core._exceptions
import time:       590 |        590 |           sniffio
import time:      1283 |       4698 |         anyio._core._eventloop
import time:      1904 |       1904 |                   _socket
import time:      2278 |       4182 |                 socket
import time:      1492 |       5674 |               anyio.abc._eventloop
import time:       823 |        823 |               anyio.abc._resources
import time:      1857 |       1857 |                 ipaddress
import time:       905 |        905 |                 anyio._core._typedattr
import time:      1074 |       1074 |                   anyio.abc._tasks
import time:      1719 |       2792 |                 anyio.abc._streams
import time:      1503 |       7055 |               anyio.abc._sockets
import time:      1218 |       1218 |               anyio.abc._subprocesses
import time:      1036 |       1036 |               anyio.abc._testing
import time:      1931 |       1931 |                 anyio.lowlevel
import time:       679 |        679 |                 anyio._core._tasks
import time:       545 |        545 |                 anyio._core._testing
import time:      4681 |       7833 |               anyio._core._synchronization
import time:       501 |        501 |                   concurrent
import time:       938 |        938 |                   concurrent.futures._base
import time:        71 |         71 |                   _interpreters
import time:       512 |       2021 |                 concurrent.futures
import time:      1483 |       3503 |               anyio.from_thread
import time:      1244 |      28383 |             anyio.abc
import time:      1021 |      29403 |           anyio.to_thread
import time:      3073 |      32476 |         anyio._core._fileio
import time:       774 |        774 |         anyio._core._resources
import time:       730 |        730 |         anyio._core._signals
import time:      3896 |       3896 |             _ssl
import time:        92 |         92 |                 _struct
import time:       530 |        622 |               struct
import time:        61 |         61 |               binascii
import time:       855 |       1538 |             base64
import time:      3641 |       9074 |           ssl
import time:       580 |        580 |             anyio.streams
import time:      1610 |       2189 |           anyio.streams.stapled
import time:      2696 |       2696 |           anyio.streams.tls
import time:      1943 |      15900 |         anyio._core._sockets
import time:      3161 |       3161 |           anyio.streams.memory
import time:       862 |       4022 |         anyio._core._streams
import time:       923 |        923 |         anyio._core._subprocesses
import time:      1290 |       1290 |         anyio._core._tempfile
import time:      1373 |      64840 |       anyio
import time:       679 |        679 |               email
import time:      1012 |       1691 |             email.errors
import time:      1210 |       1210 |               http
import time:       725 |        725 |                       email.quoprimime
import time:       632 |        632 |                       email.base64mime
import time:       627 |        627 |                           quopri
import time:       699 |       1326 |                         email.encoders
import time:       658 |       1984 |                       email.charset
import time:      1217 |       4556 |                     email.header
import time:        84 |         84 |                         _datetime
import time:       784 |        868 |                       datetime
import time:       698 |        698 |                         urllib
import time:      2072 |       2770 |                       urllib.parse
import time:       919 |        919 |                       email._parseaddr
import time:      1018 |       5574 |                     email.utils
import time:       972 |      11100 |                   email._policybase
import time:      1236 |      12336 |                 email.feedparser
import time:       895 |      13230 |               email.parser
import time:       731 |        731 |                 email._encoded_words
import time:       642 |        642 |                 email.iterators
